시차 k,전체,2025~
-5,0.018837169106982344,-0.07010327897426188
-4,-0.0024447045696888046,-0.02655878446716511
-3,-0.022061866535345382,-0.021713106863167925
-2,0.011516639648317862,0.0020536126133689123
-1,0.012262431799806458,-0.013774569461685046
0,-0.10099170835046323,0.2674828867197953
1,-0.036045965068764764,-0.07378421137670037
2,0.01437070329120423,-0.00832123590068293
3,-0.015320217311251888,-0.03925594811143034
4,0.025807701572041056,0.0036589023989793542
5,-0.02611918700923116,-0.06776919521409357
