key,검증,방식,표본,OOS R²,방향 적중(유가 큰 변동),80% 커버리지,95% 커버리지,최근 β
full,일별 2015~,전 기간 (누적),2876,-0.023512209115919003,0.5416666666666666,0.8251043115438108,0.9401947148817803,-0.02077641824548618
rolling250,일별 2015~,롤링 250일,2876,0.026211477219163504,0.5659722222222222,0.8181502086230876,0.9356745479833102,0.055910989642888966
ewma,일별 2015~,EWMA (반감기 120일),2876,0.0262945534156116,0.5711805555555556,0.8212795549374131,0.9388038942976356,0.04904293802388639
postbreak,일별 2015~,변화 시점 이후 (참고: 사후 선택),219,0.10653593239811066,0.6818181818181818,0.817351598173516,0.9497716894977168,0.055806951719869186
full,주간(5일) 2015~,전 기간 (누적),575,-0.034352667889871125,0.5391304347826087,0.8052173913043478,0.9408695652173913,-0.02077641824548618
rolling250,주간(5일) 2015~,롤링 250일,575,-0.00040223664293725925,0.591304347826087,0.8121739130434783,0.9443478260869566,0.055910989642888966
ewma,주간(5일) 2015~,EWMA (반감기 120일),575,-0.0002343839607632514,0.5826086956521739,0.8226086956521739,0.9426086956521739,0.04904293802388639
postbreak,주간(5일) 2015~,변화 시점 이후 (참고: 사후 선택),43,-0.07524105318882546,0.7777777777777778,0.6976744186046512,0.9069767441860465,0.055806951719869186
full,일별 2025-05~,전 기간 (누적),337,-0.10305338398384234,0.3088235294117647,0.7774480712166172,0.9169139465875371,-0.02077641824548618
rolling250,일별 2025-05~,롤링 250일,337,0.07113816367565429,0.6911764705882353,0.8130563798219584,0.9376854599406528,0.055910989642888966
ewma,일별 2025-05~,EWMA (반감기 120일),337,0.07058074352215238,0.6911764705882353,0.8189910979228486,0.9465875370919882,0.04904293802388639
postbreak,일별 2025-05~,변화 시점 이후 (참고: 사후 선택),219,0.10653593239811066,0.6818181818181818,0.817351598173516,0.9497716894977168,0.055806951719869186
full,주간(5일) 2025-05~,전 기간 (누적),67,-0.09317010787321389,0.35714285714285715,0.7761194029850746,0.9402985074626866,-0.02077641824548618
rolling250,주간(5일) 2025-05~,롤링 250일,67,-0.02556988258383197,0.6428571428571429,0.7611940298507462,0.9402985074626866,0.055910989642888966
ewma,주간(5일) 2025-05~,EWMA (반감기 120일),67,-0.017087443929506563,0.6428571428571429,0.7611940298507462,0.9253731343283582,0.04904293802388639
postbreak,주간(5일) 2025-05~,변화 시점 이후 (참고: 사후 선택),43,-0.03327034183129407,0.5555555555555556,0.6744186046511628,0.9302325581395349,0.055806951719869186
full,월간(21일) 2015~,전 기간 (누적),136,0.00117430200748192,0.6071428571428571,0.8455882352941176,0.9558823529411765,-0.02077641824548618
rolling250,월간(21일) 2015~,롤링 250일,136,-0.0037115456039416017,0.6428571428571429,0.8308823529411765,0.9485294117647058,0.055910989642888966
ewma,월간(21일) 2015~,EWMA (반감기 120일),136,-0.0023783988894658936,0.6071428571428571,0.8235294117647058,0.9632352941176471,0.04904293802388639
