day,oil_cum,center,lo80,hi80,lo95,hi95
0,0.0,1361.84,1361.84,1361.84,1361.84,1361.84
1,0.009157755827613016,1362.4489865153712,1351.7535505874635,1373.2290475952814,1346.12575807183,1378.9701517305864
2,0.01839937614702421,1363.0582453568422,1347.9504913293902,1378.3353262499486,1340.0208314625377,1386.4917146157177
3,0.027725628968772082,1363.6677766461917,1345.1794805807187,1382.4101779045695,1335.494051753454,1392.4358574428659
4,0.0371372893366481,1364.277580505253,1342.9420726748008,1385.9520485214384,1331.7831353878616,1397.5648641377375
5,0.04663513939210556,1364.8876570559132,1341.0452949060946,1389.1539111018835,1328.5929695003024,1402.173847934965
6,0.056219968439258174,1365.4980064201145,1339.3902261625894,1392.1146870538414,1325.7722763245417,1406.4140869701419
7,0.06589257301047402,1366.1086287198532,1337.918130185589,1394.8931129320752,1323.2312330990783,1410.3754043743165
8,0.07565375693257013,1366.7195240771803,1336.5907547342556,1397.5274412736298,1320.9113431576397,1414.1162971834917
9,0.0855043313936132,1367.330692614202,1335.381541911274,1400.0442302721701,1318.7719937765191,1417.6773784912946
10,0.09544511501033225,1367.9421344530783,1334.2711639138702,1402.4628080269579,1316.7836289880975,1421.088204635447
11,0.10547693389614833,1368.553849716024,1333.2450364617227,1404.7977591149436,1314.9239468835121,1424.3710778951013
12,0.11560062172982755,1369.165838525309,1332.291834170423,1407.0604092173073,1313.175629197417,1427.5433169060825
13,0.1258170198247626,1369.778101003257,1331.4025546419643,1409.2597610289656,1311.5249100454034,1430.6186879234601
14,0.1361269771988887,1370.3906372722474,1330.5699020719544,1411.4031106513635,1309.9606332958683,1433.6083474496882
15,0.1465313506452402,1371.0034474547135,1329.7878663901154,1413.4964684519712,1308.473608968017,1436.5214858365962
16,0.15703100480315266,1371.616531673144,1329.0514270859787,1415.5448552385913,1307.0561603081726,1439.3657802090856
17,0.16762681223011766,1372.2298900500818,1328.3563393460522,1417.5525161221913,1305.7017967426139,1442.147721512287
18,0.17831965347429526,1372.8435227081254,1327.6989761626744,1419.5230784080497,1304.4049724258766,1444.8728559632611
19,0.18911041714769045,1373.457429769927,1327.0762094910815,1421.4596704386868,1303.160904503791,1447.5459667879613
20,0.20000000000000004,1374.0716113581948,1326.485319264811,1423.3650125784643,1301.9654339788565,1450.171213355859
